ISO Code,Language,Script,Family,Subgrouping,Resources Included
amh,Amharic,Ge’ez,Afro-Asiatic,Semitic,Low
ara,Arabic,Arabic,Afro-Asiatic,Semitic,High
ben,Bengali,Bengali,Indo-European,Indo-Aryan,Mid
ceb,Cebuano,Latin,Austronesian,Malayo-Polynesian,Mid
dan,Danish,Latin,Indo-European,Germanic,Mid
deu,German,Latin,Indo-European,Germanic,High
ell,Greek,Greek,Indo-European,Graeco-Phrygian,Mid
eng,English,Latin,Indo-European,Germanic,High
eus,Basque,Latin,Basque,-,High
fil,Filipino,Latin,Austronesian,Malayo-Polynesian,Mid
fin,Finnish,Latin,Uralic,Finnic,Mid
fra,French,Latin,Indo-European,Italic,High
gle,Irish,Latin,Indo-European,Celtic,Low
guj,Gujarati,Gujarati,Indo-European,Indo-Aryan,Low
hat,Haitian Creole,Latin,Atlantic-Congo,North-Central Atlantic,Low
hau,Hausa,Latin,Afro-Asiatic,Chadic,Low
hin,Hindi,Devanagari,Indo-European,Indo-Aryan,High
hun,Hungarian,Latin,Uralic,-,High
ibo,Igbo,Latin,Atlantic-Congo,Benue-Congo,Low
ind,Indonesian,Latin,Austronesian,Malayo-Polynesian,Mid
ita,Italian,Latin,Indo-European,Italic,High
jav,Javanese,Latin,Austronesian,Malayo-Polynesian,Low
jpn,Japanese,Japanese,Japonic,Japanesic,High
kan,Kannada,Kannada,Dravidian,South Dravidian,Low
kir,Kyrgyz,Cyrillic,Turkic,Common Turkic,Low
kor,Korean,Hangul,Koreanic,Korean,Mid
kur,Kurdish,Latin,Indo-European,Iranian,Low
lit,Lithuanian,Latin,Indo-European,Balto-Slavic,Mid
mal,Malayalam,Malayalam,Dravidian,South Dravidian,Low
mar,Marathi,Devanagari,Indo-European,Indo-Aryan,Low
mlg,Malagasy,Latin,Austronesian,Malayo-Polynesian,Low
msa,Malay,Latin,Austronesian,Malayo-Polynesian,Mid
mya,Burmese,Myanmar,Sino-Tibetan,Burmo-Qiangic,Low
nep,Nepali,Devanagari,Indo-European,Indo-Aryan,Low
nld,Dutch,Latin,Indo-European,Germanic,High
nso,Northern Sotho,Latin,Atlantic-Congo,Benue-Congo,Low
nya,Chichewa,Latin,Atlantic-Congo,Benue-Congo,Low
pan,Punjabi,Gurmukhi,Indo-European,Indo-Aryan,Low
pes,Persian,Arabic,Indo-European,Iranian,High
pol,Polish,Latin,Indo-European,Balto-Slavic,High
por,Portuguese,Latin,Indo-European,Italic,High
pus,Pashto,Arabic,Indo-European,Iranian,Low
rus,Russian,Cyrillic,Indo-European,Balto-Slavic,High
sin,Sinhala,Sinhala,Indo-European,Indo-Aryan,Low
sna,Shona,Latin,Indo-European,Indo-Aryan,Low
snd,Sindhi,Arabic,Indo-European,Indo-Aryan,Low
som,Somali,Latin,Afro-Asiatic,Cushitic,Low
spa,Spanish,Latin,Indo-European,Italic,High
sqi,Albanian,Latin,Indo-European,Albanian,Low
srp,Serbian,Cyrillic,Indo-European,Balto-Slavic,High
sun,Sundanese,Latin,Austronesian,Malayo-Polynesian,Low
swa,Swahili,Latin,Atlantic-Congo,Benue-Congo,Low
swe,Swedish,Latin,Indo-European,Germanic,High
tam,Tamil,Tamil,Dravidian,South Dravidian,Mid
tel,Telugu,Telugu,Dravidian,South Dravidian,Low
tha,Thai,Thai,Tai-Kadai,Kam-Tai,Mid
tur,Turkish,Latin,Turkic,Common Turkic,High
ukr,Ukrainian,Cyrillic,Indo-European,Balto-Slavic,Mid
urd,Urdu,Arabic,Indo-European,Indo-Aryan,Mid
vie,Vietnamese,Latin,Austroasiatic,Vietic,High
wol,Wolof,Latin,Atlantic-Congo,North-Central Atlantic,Low
xho,Xhosa,Latin,Atlantic-Congo,Benue-Congo,Low
yor,Yorùbá,Latin,Atlantic-Congo,Benue-Congo,Low
zho,Chinese,Han,Sino-Tibetan,Sinitic,High
zul,Zulu,Latin,Atlantic-Congo,Benue-Congo,Low
